severity,issue_type,key,details
INFO,BRICKOWL_BOID_NO_COLOR_OK,32171pb060|38,BOID sem cor validado via catalog/lookup: 858474
INFO,BRICKOWL_BOID_NO_COLOR_OK,3245b|17,BOID sem cor validado via catalog/lookup: 327264
INFO,BRICKOWL_BOID_NO_COLOR_OK,32534|121,BOID sem cor validado via catalog/lookup: 856595
INFO,BRICKOWL_BOID_NO_COLOR_OK,32535|121,BOID sem cor validado via catalog/lookup: 18301
INFO,BRICKOWL_BOID_NO_COLOR_OK,3298pb026|75,BOID sem cor validado via catalog/lookup: 250908
INFO,BRICKOWL_BOID_NO_COLOR_OK,33021|77,BOID sem cor validado via catalog/lookup: 772385
INFO,BRICKOWL_BOID_NO_COLOR_OK,33031|75,BOID sem cor validado via catalog/lookup: 899686
INFO,BRICKOWL_BOID_NO_COLOR_OK,3308|75,BOID sem cor validado via catalog/lookup: 426332
INFO,BRICKOWL_BOID_NO_COLOR_OK,33217|96,BOID sem cor validado via catalog/lookup: 929352
INFO,BRICKOWL_BOID_NO_COLOR_OK,33227|75,BOID sem cor validado via catalog/lookup: 745842
INFO,BRICKOWL_BOID_NO_COLOR_OK,3491|13,BOID sem cor validado via catalog/lookup: 224813
INFO,BRICKOWL_BOID_NO_COLOR_OK,3622|2,BOID sem cor validado via catalog/lookup: 367537
INFO,BRICKOWL_BOID_NO_COLOR_OK,3626pb1426|93,BOID sem cor validado via catalog/lookup: 866886
INFO,BRICKOWL_BOID_NO_COLOR_OK,36876|97,BOID sem cor validado via catalog/lookup: 845261
INFO,BRICKOWL_BOID_NO_COLOR_OK,36970a|45,BOID sem cor validado via catalog/lookup: 525258
INFO,BRICKOWL_BOID_NO_COLOR_OK,36970b|45,BOID sem cor validado via catalog/lookup: 1008811
INFO,BRICKOWL_BOID_NO_COLOR_OK,3700|8,BOID sem cor validado via catalog/lookup: 64503
INFO,BRICKOWL_BOID_NO_COLOR_OK,3710|8,BOID sem cor validado via catalog/lookup: 515555
INFO,BRICKOWL_BOID_NO_COLOR_OK,37779c03|92,BOID sem cor validado via catalog/lookup: 254549
INFO,BRICKOWL_BOID_NO_COLOR_OK,3794a|8,BOID sem cor validado via catalog/lookup: 232955
INFO,BRICKOWL_BOID_NO_COLOR_OK,38153|38,BOID sem cor validado via catalog/lookup: 296121
INFO,BRICKOWL_BOID_NO_COLOR_OK,3957|101,BOID sem cor validado via catalog/lookup: 239363
INFO,BRICKOWL_BOID_NO_COLOR_OK,3966|38,BOID sem cor validado via catalog/lookup: 291261
INFO,BRICKOWL_BOID_NO_COLOR_OK,4066|67,BOID sem cor validado via catalog/lookup: 781896
INFO,BRICKOWL_BOID_NO_COLOR_OK,4066pb016|67,BOID sem cor validado via catalog/lookup: 473487
INFO,BRICKOWL_BOID_NO_COLOR_OK,4066pb113|41,BOID sem cor validado via catalog/lookup: 534228
INFO,BRICKOWL_BOID_NO_COLOR_OK,4066pb891|241,BOID sem cor validado via catalog/lookup: 11540
INFO,BRICKOWL_BOID_NO_COLOR_OK,40709|61,BOID sem cor validado via catalog/lookup: 298735
