bl_part_id,weight,source
2638,3.3,ITEMID
2639,1.75,ITEMID
2641u,9.29,ITEMID
2642,51.71,ITEMID
2653,1.42,ITEMID
2654,0.45,ITEMID
28558,0.45,ALTITEMID
54196,0.45,ALTITEMID
93791,0.45,ALTITEMID
2655,0.43,ITEMID
26716,0.43,ALTITEMID
2680,4.0,ITEMID
2681,9.0,ITEMID
2694,8.0,ITEMID
2695,2.4,ITEMID
22975,2.4,ALTITEMID
2696,11.0,ITEMID
27,0.49,ITEMID
2711,0.62,ITEMID
2713,1.19,ITEMID
2714a,0.67,ITEMID
2717,2.89,ITEMID
2719,1.3,ITEMID
2730,3.67,ITEMID
2736,0.27,ITEMID
3985,0.27,ALTITEMID
2738,2.01,ITEMID
2739,0.68,ITEMID
2743,1.51,ITEMID
2744,2.1,ITEMID
28670,2.1,ALTITEMID
2775,0.6,ITEMID
2790wrong,1.1,ITEMID
2791wrong,1.5,ITEMID
2792,4.27,ITEMID
2817,0.86,ITEMID
2819,1.0,ITEMID
2823,2.31,ITEMID
2825,0.75,ITEMID
32006,0.75,ALTITEMID
65640,0.75,ALTITEMID
2826,7.0,ITEMID
2838c01,48.3,ITEMID
2850,2.81,ITEMID
2851,0.4,ITEMID
2852,0.29,ITEMID
2853,0.37,ITEMID
2854,0.36,ITEMID
10721,0.36,ALTITEMID
65126,0.36,ALTITEMID
2855,8.4,ITEMID
2856,7.5,ITEMID
2865c01,17.08,ITEMID
74746,17.08,ALTITEMID
2871,3.31,ITEMID
2873,1.02,ITEMID
2874,3.85,ITEMID
2875,2.31,ITEMID
2876,4.81,ITEMID
2877,0.68,ITEMID
2878c01,8.54,ITEMID
74784,8.54,ALTITEMID
2879,0.82,ITEMID
2923,0.3,ITEMID
2922a,0.87,ITEMID
29,0.49,ITEMID
2904,2.8,ITEMID
2905,1.16,ITEMID
2907,0.47,ITEMID
2908,1.27,ITEMID
2917,7.35,ITEMID
2918,4.35,ITEMID
2919,0.87,ITEMID
2920,0.38,ITEMID
2921,0.61,ITEMID
28917,0.61,ALTITEMID
2926,0.9,ITEMID
42946,0.9,ALTITEMID
2927,0.31,ITEMID
2928,1.65,ITEMID
2951,14.0,ITEMID
2972,44.87,ITEMID
4592,0.09,ITEMID
298,0.09,ALTITEMID
2982c01,8.1,ITEMID
2983,0.32,ITEMID
2984,0.8,ITEMID
2985,0.7,ITEMID
2986c01,8.5,ITEMID
70823,8.5,ALTITEMID
2999,1.18,ITEMID
3,3.44,ITEMID
70644,10.67,ITEMID
30,10.67,ALTITEMID
30000,1.81,ITEMID
65514,1.81,ALTITEMID
3001,2.32,ITEMID
3001f1,2.32,ALTITEMID
3556,2.32,ALTITEMID
15589,2.32,ALTITEMID
54534,2.32,ALTITEMID
72841,2.32,ALTITEMID
3001oldpb01,2.32,ITEMID
3002,1.92,ITEMID
3002f1,1.92,ALTITEMID
30022,2.52,ITEMID
30027u,0.24,ITEMID
30028,0.83,ITEMID
30029,6.0,ITEMID
3003,1.35,ITEMID
6223,1.35,ALTITEMID
15591,1.35,ALTITEMID
35275,1.35,ALTITEMID
62404,1.35,ALTITEMID
3003f1,1.35,ALTITEMID
30031,0.33,ITEMID
30033,1.5,ITEMID
30034,1.37,ITEMID
30035,0.81,ITEMID
30036,5.76,ITEMID
30037,12.0,ITEMID
3004,0.83,ITEMID
3004f1,0.83,ALTITEMID
3004f2,0.83,ALTITEMID
93792,0.83,ALTITEMID
30041,4.0,ITEMID
30042,3.5,ITEMID
30043,0.86,ITEMID
29169,0.86,ALTITEMID
30044,0.95,ITEMID
30046,0.26,ITEMID
29170,0.26,ALTITEMID
37411,0.26,ALTITEMID
3004p01,0.83,ITEMID
3004p03,0.83,ITEMID
3004p05,0.83,ITEMID
3004p06,0.83,ITEMID
3004p12,0.83,ITEMID
3004p20,0.83,ITEMID
3004p50,0.83,ITEMID
3004p51,0.83,ITEMID
3004p60,0.83,ITEMID
3004p90,0.83,ITEMID
3004prc,0.83,ITEMID
3005,0.44,ITEMID
30071,0.44,ALTITEMID
35382,0.44,ALTITEMID
3005f1,0.44,ALTITEMID
3005f2,0.44,ALTITEMID
3005f3,0.44,ALTITEMID
3005pt1b,0.46,ITEMID
30055,1.69,ITEMID
30056,1.9,ITEMID
3005pt6b,0.46,ITEMID
3006,5.75,ITEMID
92538,5.75,ALTITEMID
30062,2.2,ITEMID
3007,4.75,ITEMID
93888,4.75,ALTITEMID
30076,11.0,ITEMID
66118,11.0,ALTITEMID
30077,2.99,ITEMID
30079,2.03,ITEMID
3008,3.21,ITEMID
3008f1,3.21,ALTITEMID
3008f2,3.21,ALTITEMID
63322,3.21,ALTITEMID
30080c01,3.11,ITEMID
75979,3.11,ALTITEMID
30082,0.18,ITEMID
3008p03,3.21,ITEMID
3008p21,3.21,ITEMID
3008p22,3.21,ITEMID
3009,2.42,ITEMID
3009f1,2.42,ALTITEMID
3009f2,2.42,ALTITEMID
3009f3,2.42,ALTITEMID
30611,2.42,ALTITEMID
30092,1.72,ITEMID
30093,1.0,ITEMID
30095,2.3,ITEMID
30099,2.56,ITEMID
4294,2.56,ALTITEMID
3009p01,2.42,ITEMID
3009p02,2.42,ITEMID
3009p03,2.42,ITEMID
3009p21,2.42,ITEMID
3010,1.64,ITEMID
6146,1.64,ALTITEMID
3010p03,1.64,ITEMID
3010p04,1.64,ITEMID
3010p05,1.64,ITEMID
3010p06,1.64,ITEMID
3010p08,1.64,ITEMID
3010p09,1.64,ITEMID
3010p15,1.64,ITEMID
3010pb036u,1.64,ITEMID
3010pb035u,1.64,ITEMID
3010p20w,1.64,ITEMID
3010p21,1.64,ITEMID
3010p30,1.64,ITEMID
3010p31,1.64,ITEMID
3010p40,1.64,ITEMID
3010p41,1.64,ITEMID
3010p918,1.64,ITEMID
3010p924,1.64,ITEMID
3010p928,1.64,ITEMID
30118,3.78,ITEMID
30119,3.78,ITEMID
30134,7.58,ITEMID
30136,0.69,ITEMID
30137,1.27,ITEMID
30139,7.7,ITEMID
30140,6.9,ITEMID
30144,6.73,ITEMID
30145,3.75,ITEMID
30145p01,3.75,ITEMID
30147,1.2,ITEMID
30150,4.17,ITEMID
30151,1.25,ITEMID
26451,1.25,ALTITEMID
30151a,1.25,ALTITEMID
30151b,1.25,ALTITEMID
38708,1.25,ALTITEMID
30152c01,0.44,ITEMID
30156,7.96,ITEMID
30157,1.91,ITEMID
30159,0.68,ITEMID
30161,0.76,ITEMID
30180,5.12,ITEMID
30182,3.61,ITEMID
30183,6.12,ITEMID
30195,7.06,ITEMID
30198,0.33,ITEMID
3020,1.2,ITEMID
5584,1.2,ALTITEMID
30201,12.5,ITEMID
30208,2.35,ITEMID
71967,2.35,ALTITEMID
30209,2.75,ITEMID
3021,0.93,ITEMID
03021,0.93,ALTITEMID
30211,2.38,ITEMID
30213,1.2,ITEMID
3022,0.64,ITEMID
94148,0.64,ALTITEMID
30223,6.82,ITEMID
3023,0.36,ITEMID
6225,0.36,ALTITEMID
28653,0.36,ALTITEMID
30235,11.48,ITEMID
30236,1.14,ITEMID
3024,0.2,ITEMID
28554,0.2,ALTITEMID
30008,0.2,ALTITEMID
63326,0.2,ALTITEMID
30246,8.63,ITEMID
30250,7.0,ITEMID
30256,1.1,ITEMID
3026,19.43,ITEMID
3027,13.27,ITEMID
30277,6.17,ITEMID
3028,9.47,ITEMID
3029,6.76,ITEMID
30299,18.0,ITEMID
3030,5.55,ITEMID
30303,4.0,ITEMID
3031,2.22,ITEMID
3032,3.3,ITEMID
3033,7.95,ITEMID
3034,2.27,ITEMID
03034,2.27,ALTITEMID
3035,4.7,ITEMID
30350,1.08,ITEMID
30355,7.99,ITEMID
3632,7.99,ALTITEMID
30356,7.99,ITEMID
30357,1.18,ITEMID
30359,1.34,ITEMID
3036,6.4,ITEMID
7423,6.4,ALTITEMID
30360,7.59,ITEMID
30363,1.71,ITEMID
30364,1.06,ITEMID
51478,1.06,ALTITEMID
30365,1.09,ITEMID
54671,1.09,ALTITEMID
3037,1.97,ITEMID
3037b,1.97,ALTITEMID
3037f,1.97,ALTITEMID
30372,5.5,ITEMID
54695,5.5,ALTITEMID
51480,5.5,ALTITEMID
30372p79,5.3,ITEMID
30373,9.2,ITEMID
3038,1.72,ITEMID
30382,5.75,ITEMID
30383,0.42,ITEMID
53922,0.42,ALTITEMID
30384,4.5,ITEMID
3039,1.15,ITEMID
6227,1.15,ALTITEMID
35277,1.15,ALTITEMID
63341,1.15,ALTITEMID
3039f1,1.15,ALTITEMID
3039f2,1.15,ALTITEMID
3039p05,1.15,ITEMID
3039p10,1.15,ITEMID
3039ps1,1.15,ITEMID
3039p15,1.15,ITEMID
3039p23,1.15,ITEMID
3039p32,1.15,ITEMID
3039p33,1.15,ITEMID
3039p34,1.15,ITEMID
3039p58,1.15,ITEMID
3039p68,1.15,ITEMID
3040,0.69,ITEMID
6270,0.69,ALTITEMID
35281,0.69,ALTITEMID
30407,2.16,ITEMID
50334,2.16,ALTITEMID
14137,2.16,ALTITEMID
3040p01,0.69,ITEMID
3040p32,0.69,ITEMID
3040p33,0.69,ITEMID
3041,1.63,ITEMID
3042,1.18,ITEMID
3043,0.91,ITEMID
3044u,0.52,ITEMID
3044p37,0.52,ITEMID
3045,0.9,ITEMID
3046,1.11,ITEMID
3046a,1.11,ALTITEMID
3046b,1.11,ALTITEMID
4723,1.11,ALTITEMID
3048u,0.34,ITEMID
3049u,0.48,ITEMID
3058,7.5,ITEMID
3062a,0.34,ITEMID
3062,0.28,ITEMID
3062b,0.28,ALTITEMID
18860,0.28,ALTITEMID
30068,0.28,ALTITEMID
35390,0.28,ALTITEMID
3062old,0.4,ITEMID
3063,0.83,ITEMID
45417,0.83,ALTITEMID
3065,0.82,ITEMID
35743,0.82,ALTITEMID
3066,1.71,ITEMID
35256,1.71,ALTITEMID
3067,2.5,ITEMID
3068p07,0.45,ITEMID
3068bp07,0.45,ALTITEMID
3068p08,0.45,ITEMID
3068bp08,0.45,ALTITEMID
3068p10,0.45,ITEMID
3068bp10,0.45,ALTITEMID
3068ps1,0.45,ITEMID
3068bps1,0.45,ALTITEMID
3068p17,0.45,ITEMID
3068bp17,0.45,ALTITEMID
3068p18,0.45,ITEMID
3068bp18,0.45,ALTITEMID
3068p22,0.45,ITEMID
3068bp22,0.45,ALTITEMID
3068p23,0.45,ITEMID
3068bp23,0.45,ALTITEMID
3068p50,0.45,ITEMID
3068bp50,0.45,ALTITEMID
3068p51,0.45,ITEMID
3068bp51,0.45,ALTITEMID
3068p52,0.45,ITEMID
3068bp52,0.45,ALTITEMID
3068p57,0.45,ITEMID
3068bp57,0.45,ALTITEMID
3068p65,0.45,ITEMID
3068bp65,0.45,ALTITEMID
3068p66,0.45,ITEMID
3068bp66,0.45,ALTITEMID
3068p67,0.45,ITEMID
3068bp67,0.45,ALTITEMID
3068p68,0.45,ITEMID
3068bp68,0.45,ALTITEMID
3068p81,0.45,ITEMID
3068bp81,0.45,ALTITEMID
3068p87,0.45,ITEMID
3068bp87,0.45,ALTITEMID
3068p16,0.45,ITEMID
3068bp16,0.45,ALTITEMID
3068p06,0.45,ITEMID
3068bp06,0.45,ALTITEMID
3069p01,0.26,ITEMID
3069bp01,0.26,ALTITEMID
3069p05,0.26,ITEMID
3069bp05,0.26,ALTITEMID
3069p06,0.26,ITEMID
3069bp06,0.26,ALTITEMID
3069p07,0.26,ITEMID
3069bp07,0.26,ALTITEMID
3069p09,0.26,ITEMID
3069bp09,0.26,ALTITEMID
3069ps1,0.26,ITEMID
3069bps1,0.26,ALTITEMID
3069p12,0.26,ITEMID
3069bp12,0.26,ALTITEMID
3069p13,0.26,ITEMID
3069bp13,0.26,ALTITEMID
3069p15,0.26,ITEMID
3069bp15,0.26,ALTITEMID
3069p21,0.26,ITEMID
3069bp21,0.26,ALTITEMID
3069p25,0.26,ITEMID
3069bp25,0.26,ALTITEMID
3069p30,0.26,ITEMID
3069bp30,0.26,ALTITEMID
3069p52,0.26,ITEMID
3069bp52,0.26,ALTITEMID
3069p68,0.26,ITEMID
3069bp68,0.26,ALTITEMID
3070pc2,0.13,ITEMID
3070bpc2,0.13,ALTITEMID
3070p06,0.13,ITEMID
3070bp06,0.13,ALTITEMID
309p01,84.6,ITEMID
31,0.9,ITEMID
3127,0.5,ITEMID
313,0.14,ITEMID
3112,0.14,ALTITEMID
3134,0.4,ITEMID
3137,2.61,ITEMID
3137c01,2.44,ITEMID
314,1.42,ITEMID
3148,1.42,ALTITEMID
3144,0.74,ITEMID
3145,2.65,ITEMID
3149,1.2,ITEMID
3149c01,2.73,ITEMID
73098,2.73,ALTITEMID
3176,0.8,ITEMID
3183,0.86,ITEMID
3184,0.81,ITEMID
3185,1.19,ITEMID
3186,1.06,ITEMID
3187,0.72,ITEMID
3188,1.13,ITEMID
3189,1.13,ITEMID
3190,1.88,ITEMID
3192,1.88,ALTITEMID
3191,1.88,ITEMID
3193,1.88,ALTITEMID
3194,3.3,ITEMID
3195,3.3,ITEMID
32bc01,1.28,ITEMID
